,House Name,Price $
496,Luxury 2Bed/2.5Bath Central Park View,2000
762,6 Bedroom Landmark West Village Townhouse,1300
946,Beautiful 3 bedroom in Manhattan,3000
1105,$ (Phone number hidden by Airbnb) weeks - room f,1300
1414,Luxury 1Bed with Central Park Views,1000
1480,Lux 2Bed/2.5Bath Central Park Views,2000
1862,"Sunny, Family-Friendly 2 Bedroom",4000
2018,Architecturally Stunning Former Synagogue!,2500
2215,Tribeca Loft w/ Private Elevator,1000
2236,Beautiful eco triplex w/green roof. Free yoga/spa.,1395
2355,Luxury 1 Bedroom Central Park Views,1000
2386,Spacious 2 bedroom near Times Sq,1000
2520,"Marcel the Shell with Shoes On or Off, Whatever",1500
2523,West Village Penthouse-terrace/view,1899
2698,Beautiful 1 Bedroom in Nolita/Soho ,5000
2772,Beautiful Lower East Side Penthouse,1100
2896,"4BD, 2 Bath Apt Flatiron on 6th Ave",1200
3131,Carol,1700
3306,Huge Loft with Private Entrance,1999
3333,Luxury 4 BD NYC Times Sq Apartment,1500
3345,UWS MANHATTAN APT FOR SUPERBOWL WE,1000
3420,Sunny Apartment in West Village,1000
3537,UWS 1BR w/backyard + block from CP,6000
3598,1500 sq ft apt sleeps 8 - SuperBowl,2000
3622,Lower Park Avenue Pre War,2000
3637,Tribeca Loft for Superbowl Wknd,1500
3684,"226 E 29th St, NY - Super Bowl",1500
3689,Large 1-BR Apt w/Fireplace & Patio,1000
3695,NYC SuperBowl Wk 5 Bdrs River View ,4000
3700,An Accomodating Apartment on Wall,1000
3702,Modern Luxury Meets Old Money Charm,1200
3720,"SuperBowl Penthouse Loft 3,000 sqft",5250
3721,Super Bowl New York City Apartment,1500
3723,Superbowl in the West Village,1500
3727,Luxury 1 Bedroom Condo,1000
3730,Super Bowl Wknd! 3-Bedroom Apt UWS,1000
3731,Spacious/New 3 Bedroom East Village,1500
3732,"Huge 3BR Penthouse, Private Roof!",1550
3755,Spacious 2 BR in North Chelsea,1000
3758,SUPER LOCATION 4 SUPER BOWL WKEND!!,1250
3761,brooklyn 14 bedroom gated community,1485
3774,SUPER BOWL Brooklyn Duplex Apt!!,6500
3782,3 Bedroom Apartment,2750
3784,PERFECT SUPERBOWL STAY,1500
3785,Penthouse with Private Rooftop for Events/Shoots,2500
3788,Prime NYC Location for Super Bowl ,3750
3793,MANHATTAN SUPERBOWL ACCOMODATION,1600
3804,SuperBowl Weekend Rental! 3 BR/1ba,1000
3812,2BD/2BA Manhattan Apt,1000
4127,"Luxury 5BR Townhouse, Upper East",2300
4345,NearWilliamsburg bridge 11211 BK,5000
4376,Photography Location,4500
4377,Film Location,8000
4730,Clean & Comfy Modern Townhouse,1000
5432,Brooklyn townhouse for filming,1000
5499,Located at the heart of Manhattan,1400
5801,New York I Love You 7 Bedrooms,1050
5839,Columbus Circle and Park Views,2695
5861,Harlem Getaway Jazz Mansion,1000
5942,NY Duplex Apartment in Flatiron,2000
6277,East Village Townhouse,1500
6333,Victorian with Stunning Views of NYC Harbor,1000
6501,Bright Design Loft Perfect for Photoshoots,1000
6511,"Stylish 3,000 sq ft loft in TriBeCa",1000
6530,Spanish Harlem Apt,9999
6620,SOHO GALLERY,2400
6715,Cat-sit in our Awesome Apartment!,2000
6987,Gramercy Park View Pied A Terre,1000
7096,"Large, comfy 1br in Williamsburg!",1763
7190,Private room in 3rd bedroom apt.,1450
7477,Private cozy Bedroom in Brooklyn ,2000
7485,Cozy bedroom in Brooklyn Sunsetpark,2000
7513,Lux 2Bed/2.5Bath Central Park View!,2000
7541,Lux 2Bed/2Bath Central Park Views!,2000
7846,Magnificent Townhouse - Upper East Side - NYC,1200
8530,Luxury 1-Bedroom King Suite with Central Park View,1000
8727,"Designer Fifth Ave 4BR 5Ba 6,000sf Modern Loft",1495
8915,Amazing panoramic view loft,2000
9151,Furnished room in Astoria apartment,10000
9603,Private Room in New Bed-Stuy Lofts,1600
9883,Brand new in the heart of Tribeca,1500
10333,"New Yorker-Featured, Light-Filled 3 Bedroom Loft",1200
10341,"Lovely, Room/with Private bathroom",1100
10431,Floor 35th in the heart of New York,1195
11021,Studio 250 New York City,2000
11239,Brooklyn Apt w/ Recording Studio,1000
11264,Rain or Shine Studios:  Dedicated to Production,2000
11339,NYC  Upscale Midtown East 3BR Apt,1170
11369,Sunny 1 bedroom long or short term,1150
11394,Beautiful Brooklyn Brownstone,1000
12329,NYC Town House,1200
12342,"Quiet, Clean, Lit @ LES & Chinatown",9999
12740,Sun-drenched SoHo Duplex Loft,1000
12800,Apartment at the St.Regis Hotel,1200
12846,3 Bed Apt - 63rd St and Madison,1100
13724,Ultra-Modern 6-bedroom House (Great for Groups),1731
13788,Private Room in Williamsburg!,1002
13930,Prime Location Luxury Tribeca Loft,1250
14166,"6 BEDROOM W VILLAGE TOWNHOUSE, NYC",1100
14380,Mins away to Manhattan Suite Residence,1800
14385,Beautiful upper west side townhouse,2000
14459,Gramercy Townhouse,1200
14573,Huge 1 bdrm apt; sublet March-Aug,2100
14574,1br Suite - St Regis Residence Club,1100
15107,Luxury Penthouse w/ Roofdecks,1000
15390,Loft,2500
15560,Luxury townhouse Greenwich Village,6000
15576,Sunny Williamsburg Sublet,1300
15833,Superhost-Designer Legal 4 Bed Townhouse Midtown 2,1000
15837,Superhost-Pristine 4 Bed Legal Townhouse Midtown 1,1000
15890,Private Room in Williamsburg Duplex,1000
16040,Bright studio on great location,2000
16122,Bright & Cozy Furnitured 4 Sublet,1000
16545,Beautiful 2000 sq. ft. loft in Hells Kitchen NYC,2000
16875,Deluxe 3-BR + 3.5Bath with sweeping city views!!,1100
17170,Planta Baja Studio,1000
17652,Tribeca Light filled/ Views Apt,1000
17665,VIP Duplex Townhouse with Private Garden!!!,3800
17692,Luxury 1 bedroom apt. -stunning Manhattan views,10000
17811,Gorgeous 2 Bedroom apartment,2350
17977,Elegant apt in the heart of the Flatiron District,1100
18356,Unparalleled Luxury in Midtown Manhattan,2500
18632,Breathtaking City Views 3 Bed Apt. in Lincoln Sq!,3000
19236,Cityscape Views at Lux 1 Bed/1 Bath in Lincoln Sq.,1000
19270,Modern Luxury 2 Bed/ 2 Bath apartment in Midtown!,2000
19304,"Private, Spacious Bedroom in Harlem, single bed",1500
19474,889 Bushwick Ave,2000
19684,"SOHO,TRIBECA,LOFT,4500sqft.",1500
19802,5 Star Luxury 2 BR Suite Heart of Manhattan,2000
19803,5 Star Luxury Suite Heart of Manhattan,1020
20094,2 BDRM Presidential Reserve at Wyndham Midtown 45,1599
20219,The Gnome House “ Oasis in the city “,1200
20551,Spectacular Townhouse 4Floor 5BD West Village NYC,2590
21176,Sunny Ditmas Park Carriage House (Events Listing),1000
21821,The Otheroom Bar/Event/Filming Space -read details,4000
21955,Ultimate 50th Floor Downtown Penthouse  - 4000SqFt,2250
22353,Victorian Film location,5000
22373,West Chelsea Studios - Penthouse 12,2800
22407,4000 SqFt Luxury Penthouse  - Downtown NYC,2250
22472,New Years EVE in NY! Magnificent Private Penthouse,1000
22635,Prestige Townhouse 5B 3.5bath East Central Park,1475
22976,"Private bedroom, Queenbed on suite bath and closet",2000
22992,"Modern Townhouse for Photo, Film &  Daytime Events",2900
23396,Magnificent Lakeview Home on Kissena Park in NYC,1500
23411,MODERN GARDEN 1BR IN NEWLY RENOVATED TOWNHOUSE,1067
23486,4 Bed 3.5 Bath in Manhattan,1599
23545,1BR/1BA in 2BR/2BA Flushing,1000
23584,Beautiful Private Townhouse- Heart of Manhattan,1200
23694,NYC Hotel (Enjoy top tier membership benefits),1000
23865,Oceanfront vacation home on Rockaway Beach,1500
24286,A Cozy Manhattan Sanctuary,2500
24477,"""The luxury of Comfort""",2500
24540,Loft-like turn of the century apartment for shoots,1000
24993,"ART LOFT/HOME:  DINNERS, GATHERINGS, PHOTO",1795
25064,"Stunning Brooklyn Heights House, Manhattan 5 mins",1095
25402,"Luxe, Central Loft in Downtown Manhattan",1500
25516,Beautiful Big Brownstone Bedroom w/ Natural Light,1000
25825,Fulton 2,5000
25901,Greenwich Village Townhome with Private Garden!,3900
25947,CHIC EVENT SPACE,1700
26443,Murray Hill House,1177
26617,"Manhattan, double size sofa bed no deposit",1500
26739,Broadway 1,5000
26781,"3 Beds, 2 Baths serviced apartment Tesoro-Gramercy",1100
27512,SOHO LOFT: 2000sq ft renovated & centrally located,1000
27590,Luxury 8 Bedroom Townhouse in Midtown-Sleeps 16,2200
27785,Exclusive  & Luxurious 4BR/4Bath Townhouse,1000
27922,Lincoln Center Studio,1066
28727,The room boom,3000
28858,SPECTACULAR SOHO GREAT ROOM LOFT 6000sq feet,3000
28945,Chelsea Gallery Space for events and exhibitions,2010
28946,Chelsea Gallery Space for events and exhibitions,3210
28947,"Chelsea Gallery for events, exhibitions, fashion",4160
28952,Stunning Loft Penthouse Central Park Terrace New,1046
29064,holiday sublet,1000
29237,Most luxuriest place to relax while visiting NYC,1500
29238,1-BR Lincoln Center,10000
29661,Bergen Street by (Hidden by Airbnb),1680
29662,East 72nd Townhouse by (Hidden by Airbnb),7703
29663,East 7th Street III by (Hidden by Airbnb),3518
29664,Park Avenue Mansion by (Hidden by Airbnb),6419
29665,Park Place Townhouse by (Hidden by Airbnb),2626
29666,Prospect Place by (Hidden by Airbnb),2103
29681,Gorgeous Daylight Photo Studio in Chelsea,1100
29683,Gorgeous natural light in Chelsea photo studio,1500
30080,Artist apartment in LIC,1250
30257,SHOOTS ONLY -- Large Sunny loft in Williamsburg,1000
30259,SHOOTS ONLY - Eclectic Artist Loft in Williamsburg,2000
30260,SHOOTS ONLY - Huge Artist loft in Williamsburg,2500
30268,Beautiful/Spacious 1 bed luxury flat-TriBeCa/Soho,8500
30824,Designer's Beautiful 2BR Apartment in NOLITA/SOHO,2990
30857,Downtown Loft Location w/ Skyline View & Studio,1000
30916,East Village Celebrity Townhouse,1000
31105,Master Garden Suite @ Northern Lights Mansion,1500
31507,TV-PHOTO-FILM-CINEMA-ART GALLERY-MUSIC STUDIO-LOFT,1000
31866,Luxury Central Park Views Iconic building,1195
31954,NY’s Highest End Celebrity Building + Balconies!,1200
32003,Triple Mint Townhouse in the heart of West Village,1500
32041,"Paradise Garden, Spa, Steam & Massage Table #10299",2500
32372,Garden Duplex close to Central Park,1000
32439,THE 602 SHOWROOM,1000
32544,"Gorgeous summer spot in boerum hill, brooklyn!",1333
32571,Beautiful Classic 7 Residence UES,1100
32796,Penthouse Triplex Jewel - 3000sf,1000
33137,Private cozy room in perfect UWS,1200
33430,Flatiron Oasis Off 5th Ave,1500
34117,Designer $10M Luxury Home in Prime SoHo !,1250
34244,Brooklyn Town House,1200
34310,Private Bedroom in the Financial District,1700
34613,New york Multi-unit building,1000
34844,New York Condominium,1100
34851,A Night at Anchor Aboard Yacht Ventura,3750
35695,West Village 5 BR Townhouse & Private Yard,1500
35920,NYC Townhouse & Private Roof Deck,1000
37083,Loft Space with Incredible Windows,1500
37179,Gorgeous Bohemian one BEDROOM in EAST VILLAGE,1700
37194,"Apartment New York 
Hell’s Kitchens",6500
37253,Gilchrist Private,1000
37450,"2 bedroom, one bath in Crown Heights",2545
37570,Spacious West Village Studio,1115
37864,NYC HOLIDAY!!!!   April 15- May 15,3600
38000,4-Floor Unique Event Space 50P Cap. - #10299B,5000
38122,Tribeca - Large 4 bedroom 2 bathroom for Xmas/NY,2000
38220,Large shared apartment in Alphabet City,1880
38223,Luxury West Village private Townhouse 5B Garden,3000
38358,Massive Loft in the Heart of Union square,3000
38456,2nd floor of 2-family house available for December,1500
38498,"LUXURIOUS 5 bedroom, 4.5 bath home",2999
38591,1500 SQ FT Williamsburg  Penthouse,1600
38947,Times Square Palace,3000
39139,Beauitful spacious Loft apartment,1350
39243,Furnished 1000sq large 2bed + office in Harlem,3200
39736,STEPS FROM BALL DROP IN TIME SQR! Sleeps up to 8!,1000
39742,Cost-effective nice room near Columbia University!,1350
39766,Ashly’s apartment,1000
39814,5 Star Manhattan Luxury St. Regis Hotel King Suite,1075
39846,CQ 1 Bedroom,3000
39912,Luxury on 5th Ave St. Regis 2 King BR Suite 5 Star,1999
40086,Magnificent 5 Bedroom Brooklyn Townhouse,1750
40152,Tribeca Loft,1000
40379,Shoot in Eccentric Loft with tons of Natural Light,1080
40412,Amazing Soho Apartments with Private Backyard,1299
40433,2br - The Heart of NYC: Manhattans Lower East Side,9999
40586,Private bedroom/Bathroom in a 2 bedroom apartment,2500
40597,Magnificent 6 Bedroom/5 Bathroom Townhouse,1150
40638,"Meatpacking Events, Popups, Baby Showers, PhotoSht",1050
40734,Wyndham Midtown 45 New York City Presidential,1295
40764,Photo Studio & Creative Space,1200
41181,East VillageTownhouse for 30 day minimum rentals.,1500
41214,Harrison Green by (Hidden by Airbnb),1978
41215,Prospect Place III by (Hidden by Airbnb),1494
41216,West 88th Street by (Hidden by Airbnb),3512
41283,Greenwich Village Luxury Loft,1000
41580,"SPACIOUS Floor-Through Loft in Flatiron, NYC",1200
41647,Celebrity Central Park townhouse designer's touch.,1497
41715,Sunny 3 Story 5BR 5Bath Townhouse Upper East Side!,1250
41770,Recently Renovated & Furnished Apt- Room available,2850
42172,My place 4 u,1315
42523,70' Luxury MotorYacht on the Hudson,7500
42542,West 84th Street by (Hidden by Airbnb),3613
42680,Majestic Mansion LifeStyle :),2600
42736,30 days minimum Time square West Midtown apartment,4100
42912,Alphabet Place II by (Hidden by Airbnb),1145
42915,Soho Loft III by (Hidden by Airbnb),1306
43009,Midtown Manhattan great location (Gramacy park),5100
43201,Coming soon: stunning Upper West Side apartment,1000
43563,Prime Location!Cozy 2BR in West Village!,1799
43670,Beautiful private Brooklyn room with kitchenette,4200
44034,3000 sq ft daylight photo studio,6800
44224,Amazing 3BR private triplex in historic townhouse!,1000
44429,Room with sofa bed or air mattress,2000
45185,Beautiful Brooklyn Brownstone Production Space,2500
45414,Great Duplex in Gramercy (private bedroom + bath),1900
45572,Central Hall Colonial with Free Parking Bus EXP NY,1250
45610,Amazing Townhouse Experience with Private Garden,1000
45666,Gem of east Flatbush,7500
45710,Times Square 3BR Loft! Amazing Location!,2500
45867,bay ridge & sunset park furnished apartment,4200
45891,entire apartment for rent,1800
45967,7BR Lux Townhouse w/ Patio! Best Village Location!,1099
46140,Bedroom in heart of Cobble Hill BK w/ private roof,1750
46533,Amazing Chelsea 4BR Loft!,2995
46614,Northside Williamsburg Stunner,4500
46710,Cool Summer Vibes UWS Pent House w/ rooftop,1200
46895,Duplex Residence with Breathtaking NYC View!,1750
47350,wait until later,2000
47391,"Prospect Park Historic 1BR near 2,5,Q, B, S trains",1400
47548,Sunny 5Br 4Ba - Townhouse on Upper East Side,1100
47670,Cozy and Clean entire home,1500
47869,Private Townhome in Midtown East near UN,1600
48043,Luxury TriBeCa Apartment at an amazing price,6500
48050,Chelsea Loft Living - Perfect for LARGE groups,1050
48080,Luxury apartment 2 min to times square,1308
48282,VJ'S 5 HOUR YACHT TOUR,1000
48304,Next to Times Square/Javits/MSG! Amazing 1BR!,2999
48305,2BR Near Museum Mile! Upper East Side!,1999
48523,"Tasteful & Trendy Brooklyn Brownstone, near Train",1369
48535,"Stunning & Stylish Brooklyn Luxury, near Train",1749
